"","Name","High School","Position","Rating","College","NIL Valuation","Followers","Conference"
"505","JC Latham","OT /IMG AcademyBradenton, FL","OT",99.37,"Alabama Crimson Tide",616000,21000,"SEC"
"506","Roger Rosengarten","OT /Valor ChristianLittleton, CO","OT",92.46,"Washington Huskies",568000,4600,"Pac-12"
"507","Walter Rouse","OT /Sidwell Friends SchoolWashington, DC","OT",88.37,"Oklahoma Sooners",546000,6900,"Big 12"
"509","Ajani Cornelius","OT /Archbishop StepinacWhite Plains, NY","OT",50,"Oregon Ducks",512000,5700,"Pac-12"
"510","Wyatt Milum","OT /Spring ValleyHuntington, WV","OT",92.75,"West Virginia Mountaineers",477000,5900,"Big 12"
"511","Kadyn Proctor","OT /Southeast PolkDes Moines, IA","OT",98.83,"Alabama Crimson Tide",464000,48000,"SEC"
"512","Javon Foster","OT /West BloomfieldWest Bloomfield, MI","OT",82.2,"Missouri Tigers",437000,2700,"SEC"
"513","Taliese Fuaga","OT /Mount TahomaTacoma, WA","OT",81.87,"Oregon State Beavers",404000,1400,"Pac-12"
"514","Hollin Pierce","OT /Fork Union Military AcademyTrenton, NJ","OT",50,"Rutgers Scarlet Knights",375000,2200,"Big Ten"
"515","Will Campbell","OT /NevilleMonroe, LA","OT",96.56,"Lsu Tigers",358000,34000,"SEC"
"516","Devonte Gordon","OT /Maret SchoolWashington, DC","OT",84.63,"Wake Forest Demon Deacons",342000,4000,"ACC"
"517","Francis Mauigoa","OT /IMG AcademyBradenton, FL","OT",98.77,"Miami Hurricanes",322000,23000,"ACC"
"518","Earnest Greene","OT /St. John BoscoBellflower, CA","OT",96.27,"Georgia Bulldogs",317000,11100,"SEC"
"520","Bless Harris","OT /St. AugustineNew Orleans, LA","OT",77.94,"Florida State Seminoles",302000,19500,"ACC"
"521","Samson Okunlola","OT /Thayer AcademyBrockton, MA","OT",97.74,"Miami Hurricanes",298000,34000,"ACC"
"522","Monroe Mills","OT /Father ToltonColumbia, MO","OT",82.2,"Texas Tech Red Raiders",296000,2500,"Big 12"
"523","Nick Rosi","OT /Olentangy LibertyPowell, OH","OT",50,"Toledo Rockets",286000,902,"MAC"
"524","Zalance Heard","OT /NevilleMonroe, LA","OT",97.49,"Lsu Tigers",268000,3200,"SEC"
"525","Delmar Glaze","OT /West MecklenburgCharlotte, NC","OT",81.42,"Maryland Terrapins",241000,413,"Big Ten"
"526","Armand Membou","OT /Lee's Summit NorthLees Summit, MO","OT",88.93,"Missouri Tigers",238000,27000,"SEC"
"527","Dillon Wade","OT /Cy FallsHouston, TX","OT",79.15,"Auburn Tigers",233000,8200,"SEC"
"528","Graham Barton","OT /RavenwoodBrentwood, TN","OT",86,"Duke Blue Devils",231000,3500,"ACC"
"529","Josh Simmons","OT /HelixLa Mesa, CA","OT",89.67,"Ohio State Buckeyes",227000,2400,"Big Ten"
"530","Amari Kight","OT /ThompsonAlabaster, AL","OT",94.87,"Ucf Knights",209000,8300,"Big 12"
